REPOSITORY                       TAG                 IMAGE ID            CREATED              SIZE
kornsn/ubuntu-tmp-file           latest              5a699f7d7c59        About a minute ago   116MB
hello-world                      latest              fce289e99eb9        5 days ago           1.84kB
python                           2.7-alpine          309337f1f167        4 weeks ago          58.3MB
centos                           7                   1e1148e4cc2c        4 weeks ago          202MB
mongo                            latest              525bd2016729        6 weeks ago          383MB
ubuntu                           16.04               a51debf7e1eb        6 weeks ago          116MB
ubuntu                           latest              93fd78260bd1        6 weeks ago          86.2MB
python                           alpine              aadc3feb2b19        7 weeks ago          78.2MB
my_project_my_project_app        latest              3f8ef8e532f9        3 months ago         975MB
postgres                         10                  084ec18124c8        3 months ago         228MB
python                           3.7                 a9d071760c82        4 months ago         923MB
order_service                    latest              9c42c6961f91        5 months ago         350MB
openzipkin/zipkin                latest              a1fd52a563b0        5 months ago         146MB
jaegertracing/all-in-one         latest              d2bdbb1d2ee5        5 months ago         41.3MB
python                           3.6-alpine3.6       67924b2e9c8c        5 months ago         72.3MB
alpine                           latest              11cd0b38bc3c        6 months ago         4.41MB
tmp                              latest              e13067b1d7eb        6 months ago         350MB
ubuntu                           18.04               113a43faa138        7 months ago         81.2MB
user_service                     latest              25177d05f000        7 months ago         314MB
kornsn/bootprint                 latest              631cc80a7c95        7 months ago         714MB
node                             latest              f697cb5f31f8        8 months ago         675MB
swagger2markup/swagger2markup    latest              ff72547723a7        8 months ago         99.3MB
koumoul/openapi-viewer           latest              e99465adf030        8 months ago         71.7MB
swaggerapi/swagger-codegen-cli   latest              db3720e7f60c        8 months ago         122MB
centos                           latest              e934aafc2206        9 months ago         199MB
session_service                  latest              645f084292f8        11 months ago        232MB
swaggerapi/swagger-codegen-cli   v2.3.1              18580d4a6083        11 months ago        122MB
ubuntu                           17.10               a8ad041f5225        11 months ago        96.8MB
python                           3.6-slim            dc41c0491c65        12 months ago        156MB
ubuntu                           17.04               93fd6b1bc1dc        13 months ago        95.4MB
ubuntu                           zesty               93fd6b1bc1dc        13 months ago        95.4MB
rabbitmq                         3-management        046c07b70859        15 months ago        124MB
python                           3.6.2-slim          f39b8b8e7f07        15 months ago        206MB
tarantool/tarantool              latest              3598eaf9c5a2        16 months ago        219MB
mongo                            <none>              c07b136da935        16 months ago        359MB
kornsn/load_generator            latest              3be84b462aed        2 years ago          435MB
bg451/opentracing-example        latest              255a47fcf1f6        2 years ago          24.4MB
